Layer_4, torch.Size([126, 8]), 145.0, 111, 101.5
Layer_5, torch.Size([126, 8]), 143.5, 113, 102.0
Layer_6, torch.Size([126, 8]), 118.0, 103, 86.0
Layer_7, torch.Size([126, 8]), 111.0, 98, 82.0
Layer_8, torch.Size([126, 8]), 129.5, 111, 95.0
Layer_9, torch.Size([126, 8]), 129.5, 105, 92.0
Layer_10, torch.Size([126, 8]), 139.5, 113, 99.5
Layer_11, torch.Size([126, 8]), 150.0, 114, 105.5
Layer_12, torch.Size([126, 8]), 144.0, 113, 101.0
Layer_13, torch.Size([126, 8]), 137.0, 104, 95.5
Layer_14, torch.Size([126, 8]), 145.0, 110, 102.0
Layer_15, torch.Size([126, 8]), 136.0, 104, 95.5
Layer_16, torch.Size([126, 8]), 129.0, 105, 92.5
Layer_17, torch.Size([126, 8]), 133.0, 107, 95.5
Layer_18, torch.Size([126, 8]), 103.0, 88, 74.0
Layer_19, torch.Size([126, 8]), 95.5, 84, 70.0
Layer_20, torch.Size([126, 8]), 119.0, 104, 87.0
Layer_21, torch.Size([126, 8]), 127.0, 105, 91.0
Layer_22, torch.Size([126, 8]), 133.5, 113, 96.5
Layer_23, torch.Size([126, 8]), 141.5, 113, 101.0
Layer_24, torch.Size([126, 8]), 142.0, 112, 101.0
Layer_25, torch.Size([126, 8]), 144.5, 110, 101.0
Layer_26, torch.Size([126, 8]), 149.0, 111, 103.5
Layer_27, torch.Size([126, 8]), 134.5, 110, 97.0
Layer_28, torch.Size([126, 8]), 130.5, 107, 94.5
Layer_29, torch.Size([126, 8]), 133.5, 105, 94.5
Layer_30, torch.Size([126, 8]), 121.5, 100, 87.0
Layer_31, torch.Size([126, 8]), 108.5, 93, 79.5
Layer_32, torch.Size([126, 8]), 129.5, 104, 92.0
Layer_33, torch.Size([126, 8]), 138.0, 110, 98.5
Layer_34, torch.Size([126, 8]), 144.5, 112, 101.0
Layer_35, torch.Size([126, 8]), 147.5, 113, 103.5
Layer_36, torch.Size([126, 8]), 144.0, 116, 103.0
Layer_37, torch.Size([126, 8]), 153.5, 116, 107.0
Layer_38, torch.Size([126, 8]), 146.5, 113, 102.5
Layer_39, torch.Size([126, 8]), 147.0, 111, 104.0
Layer_40, torch.Size([126, 8]), 140.5, 113, 100.5
Layer_41, torch.Size([126, 8]), 135.0, 103, 94.5
Layer_42, torch.Size([126, 8]), 139.0, 108, 98.0
Layer_43, torch.Size([126, 8]), 135.5, 105, 95.5
Layer_44, torch.Size([126, 8]), 139.5, 110, 99.5
Layer_45, torch.Size([126, 8]), 135.0, 106, 96.0
Layer_46, torch.Size([126, 8]), 136.5, 111, 98.5
Layer_47, torch.Size([126, 8]), 148.0, 114, 104.5
Layer_0, torch.Size([155, 8]), 165.0, 121, 115.0
Layer_1, torch.Size([155, 8]), 169.5, 128, 118.5
Layer_2, torch.Size([155, 8]), 159.5, 116, 110.0
Layer_3, torch.Size([155, 8]), 159.0, 117, 110.0
Layer_4, torch.Size([155, 8]), 148.5, 117, 105.0
Layer_5, torch.Size([155, 8]), 151.0, 117, 106.5
Layer_6, torch.Size([155, 8]), 121.5, 101, 88.5
Layer_7, torch.Size([155, 8]), 121.5, 106, 89.5
Layer_8, torch.Size([155, 8]), 136.0, 108, 95.5
Layer_9, torch.Size([155, 8]), 148.5, 116, 104.5
Layer_10, torch.Size([155, 8]), 157.0, 115, 109.0
Layer_11, torch.Size([155, 8]), 151.0, 117, 107.5
Layer_12, torch.Size([155, 8]), 156.5, 116, 108.5
Layer_13, torch.Size([155, 8]), 145.0, 112, 101.0
Layer_14, torch.Size([155, 8]), 149.5, 115, 104.5
Layer_15, torch.Size([155, 8]), 140.0, 109, 98.0
Layer_16, torch.Size([155, 8]), 139.5, 110, 98.5
Layer_17, torch.Size([155, 8]), 144.5, 111, 101.0
Layer_18, torch.Size([155, 8]), 109.5, 97, 81.5
Layer_19, torch.Size([155, 8]), 110.0, 96, 80.5
Layer_20, torch.Size([155, 8]), 135.0, 112, 98.5
Layer_21, torch.Size([155, 8]), 142.5, 111, 101.0
Layer_22, torch.Size([155, 8]), 152.5, 119, 109.0
Layer_23, torch.Size([155, 8]), 147.0, 119, 104.5
Layer_24, torch.Size([155, 8]), 152.0, 113, 105.0
