Layer 16: Entropy=3.8922, Top-4 Coverage=0.1929, Self-Transition=0.3538
Layer 17: Entropy=3.8976, Top-4 Coverage=0.2012, Self-Transition=0.3369
Layer 18: Entropy=3.6813, Top-4 Coverage=0.2456, Self-Transition=0.5042
Layer 19: Entropy=3.7668, Top-4 Coverage=0.2328, Self-Transition=0.6059
Layer 20: Entropy=3.8068, Top-4 Coverage=0.2012, Self-Transition=0.4057
Layer 21: Entropy=3.8632, Top-4 Coverage=0.2107, Self-Transition=0.3930
Layer 22: Entropy=4.0699, Top-4 Coverage=0.1756, Self-Transition=0.3284
Layer 23: Entropy=4.1356, Top-4 Coverage=0.1736, Self-Transition=0.3231
Layer 24: Entropy=4.0776, Top-4 Coverage=0.1796, Self-Transition=0.3739
Layer 25: Entropy=4.0438, Top-4 Coverage=0.1980, Self-Transition=0.2966
Layer 26: Entropy=4.0399, Top-4 Coverage=0.1829, Self-Transition=0.3157
Layer 27: Entropy=4.0383, Top-4 Coverage=0.1845, Self-Transition=0.3263
Layer 28: Entropy=4.0367, Top-4 Coverage=0.1805, Self-Transition=0.3263
Layer 29: Entropy=4.0116, Top-4 Coverage=0.1825, Self-Transition=0.2765
Layer 30: Entropy=3.8984, Top-4 Coverage=0.1997, Self-Transition=0.3803
Layer 31: Entropy=4.0202, Top-4 Coverage=0.1815, Self-Transition=0.4195
Layer 32: Entropy=3.9934, Top-4 Coverage=0.1709, Self-Transition=0.2998
Layer 33: Entropy=4.1071, Top-4 Coverage=0.1579, Self-Transition=0.2786
Layer 34: Entropy=4.1586, Top-4 Coverage=0.1620, Self-Transition=0.2786
Layer 35: Entropy=4.1535, Top-4 Coverage=0.1704, Self-Transition=0.2987
Layer 36: Entropy=4.1996, Top-4 Coverage=0.1489, Self-Transition=0.2892
Layer 37: Entropy=4.0595, Top-4 Coverage=0.1620, Self-Transition=0.2564
Layer 38: Entropy=4.1096, Top-4 Coverage=0.1605, Self-Transition=0.2225
Layer 39: Entropy=4.1374, Top-4 Coverage=0.1598, Self-Transition=0.2235
Layer 40: Entropy=4.0045, Top-4 Coverage=0.1713, Self-Transition=0.2553
Layer 41: Entropy=3.9463, Top-4 Coverage=0.1414, Self-Transition=0.1907
Layer 42: Entropy=3.8355, Top-4 Coverage=0.1649, Self-Transition=0.1896
Layer 43: Entropy=3.8428, Top-4 Coverage=0.1607, Self-Transition=0.2394
Layer 44: Entropy=3.7515, Top-4 Coverage=0.1621, Self-Transition=0.2415
Layer 45: Entropy=3.8488, Top-4 Coverage=0.1614, Self-Transition=0.2002
Layer 46: Entropy=3.6946, Top-4 Coverage=0.1449, Self-Transition=0.2447
Layer 47: Entropy=3.6225, Top-4 Coverage=0.1581, Self-Transition=0.2150
Layer 0: Entropy=3.8490, Top-4 Coverage=0.2028, Self-Transition=0.2583
Layer 1: Entropy=3.9727, Top-4 Coverage=0.2008, Self-Transition=0.3323
Layer 2: Entropy=3.8745, Top-4 Coverage=0.1950, Self-Transition=0.3177
Layer 3: Entropy=3.7310, Top-4 Coverage=0.2198, Self-Transition=0.3854
Layer 4: Entropy=3.6015, Top-4 Coverage=0.2394, Self-Transition=0.4458
Layer 5: Entropy=3.5751, Top-4 Coverage=0.2584, Self-Transition=0.4427
Layer 6: Entropy=3.5817, Top-4 Coverage=0.2335, Self-Transition=0.4844
Layer 7: Entropy=3.6244, Top-4 Coverage=0.2441, Self-Transition=0.6000
Layer 8: Entropy=3.7006, Top-4 Coverage=0.2302, Self-Transition=0.4010
Layer 9: Entropy=3.6812, Top-4 Coverage=0.2415, Self-Transition=0.4229
Layer 10: Entropy=3.8893, Top-4 Coverage=0.2174, Self-Transition=0.3719
Layer 11: Entropy=3.9209, Top-4 Coverage=0.2116, Self-Transition=0.3229
Layer 12: Entropy=3.9539, Top-4 Coverage=0.2109, Self-Transition=0.3896
Layer 13: Entropy=3.7969, Top-4 Coverage=0.2300, Self-Transition=0.3531
Layer 14: Entropy=4.0220, Top-4 Coverage=0.1926, Self-Transition=0.3323
Layer 15: Entropy=3.9229, Top-4 Coverage=0.2063, Self-Transition=0.3542
Layer 16: Entropy=3.8841, Top-4 Coverage=0.1944, Self-Transition=0.3635
Layer 17: Entropy=3.9134, Top-4 Coverage=0.2075, Self-Transition=0.3302
Layer 18: Entropy=3.6692, Top-4 Coverage=0.2516, Self-Transition=0.5063
Layer 19: Entropy=3.7467, Top-4 Coverage=0.2399, Self-Transition=0.6083
Layer 20: Entropy=3.7968, Top-4 Coverage=0.2034, Self-Transition=0.4063
Layer 21: Entropy=3.8534, Top-4 Coverage=0.2116, Self-Transition=0.3906
Layer 22: Entropy=4.0636, Top-4 Coverage=0.1765, Self-Transition=0.3250
Layer 23: Entropy=4.1327, Top-4 Coverage=0.1745, Self-Transition=0.3250
Layer 24: Entropy=4.0716, Top-4 Coverage=0.1809, Self-Transition=0.3771
Layer 25: Entropy=4.0453, Top-4 Coverage=0.1983, Self-Transition=0.2812
Layer 26: Entropy=4.0410, Top-4 Coverage=0.1829, Self-Transition=0.3125
Layer 27: Entropy=4.0348, Top-4 Coverage=0.1869, Self-Transition=0.3250
Layer 28: Entropy=4.0330, Top-4 Coverage=0.1821, Self-Transition=0.3323
Layer 29: Entropy=4.0126, Top-4 Coverage=0.1822, Self-Transition=0.2760
Layer 30: Entropy=3.8922, Top-4 Coverage=0.2040, Self-Transition=0.3698
Layer 31: Entropy=4.0048, Top-4 Coverage=0.1878, Self-Transition=0.4271
Layer 32: Entropy=3.9878, Top-4 Coverage=0.1722, Self-Transition=0.2990
Layer 33: Entropy=4.1047, Top-4 Coverage=0.1610, Self-Transition=0.2844
Layer 34: Entropy=4.1586, Top-4 Coverage=0.1633, Self-Transition=0.2740
Layer 35: Entropy=4.1557, Top-4 Coverage=0.1703, Self-Transition=0.2823
Layer 36: Entropy=4.1933, Top-4 Coverage=0.1518, Self-Transition=0.2854
Layer 37: Entropy=4.0632, Top-4 Coverage=0.1633, Self-Transition=0.2427
Layer 38: Entropy=4.1105, Top-4 Coverage=0.1624, Self-Transition=0.2229
Layer 39: Entropy=4.1349, Top-4 Coverage=0.1616, Self-Transition=0.2333
Layer 40: Entropy=4.0061, Top-4 Coverage=0.1732, Self-Transition=0.2438
Layer 41: Entropy=3.9730, Top-4 Coverage=0.1433, Self-Transition=0.1948
Layer 42: Entropy=3.8464, Top-4 Coverage=0.1639, Self-Transition=0.1885
Layer 43: Entropy=3.8517, Top-4 Coverage=0.1614, Self-Transition=0.2406
Layer 44: Entropy=3.7551, Top-4 Coverage=0.1637, Self-Transition=0.2375
Layer 45: Entropy=3.8564, Top-4 Coverage=0.1613, Self-Transition=0.2042
Layer 46: Entropy=3.7022, Top-4 Coverage=0.1450, Self-Transition=0.2542
Layer 47: Entropy=3.6229, Top-4 Coverage=0.1580, Self-Transition=0.2094
Layer 0: Entropy=3.5109, Top-4 Coverage=0.2370, Self-Transition=0.3989
Layer 1: Entropy=3.6061, Top-4 Coverage=0.2175, Self-Transition=0.4057
Layer 2: Entropy=3.6902, Top-4 Coverage=0.2123, Self-Transition=0.3699
Layer 3: Entropy=3.5900, Top-4 Coverage=0.2409, Self-Transition=0.4104
Layer 4: Entropy=3.5105, Top-4 Coverage=0.2286, Self-Transition=0.3726
Layer 5: Entropy=3.3891, Top-4 Coverage=0.2597, Self-Transition=0.4320
Layer 6: Entropy=3.4334, Top-4 Coverage=0.2279, Self-Transition=0.3936
Layer 7: Entropy=3.4067, Top-4 Coverage=0.2151, Self-Transition=0.3857
Layer 8: Entropy=3.5633, Top-4 Coverage=0.2342, Self-Transition=0.4021
Layer 9: Entropy=3.5073, Top-4 Coverage=0.2389, Self-Transition=0.3914
Layer 10: Entropy=3.6576, Top-4 Coverage=0.2289, Self-Transition=0.3714
Layer 11: Entropy=3.7412, Top-4 Coverage=0.2253, Self-Transition=0.3590
Layer 12: Entropy=3.7501, Top-4 Coverage=0.2143, Self-Transition=0.3252
Layer 13: Entropy=3.6464, Top-4 Coverage=0.2413, Self-Transition=0.3758
Layer 14: Entropy=3.8914, Top-4 Coverage=0.2006, Self-Transition=0.3337
Layer 15: Entropy=3.7557, Top-4 Coverage=0.2067, Self-Transition=0.3307
Layer 16: Entropy=3.7675, Top-4 Coverage=0.2011, Self-Transition=0.3321
Layer 17: Entropy=3.7300, Top-4 Coverage=0.2084, Self-Transition=0.3392
Layer 18: Entropy=3.5406, Top-4 Coverage=0.2400, Self-Transition=0.3509
Layer 19: Entropy=3.6653, Top-4 Coverage=0.2275, Self-Transition=0.3485
Layer 20: Entropy=3.6287, Top-4 Coverage=0.2140, Self-Transition=0.3414
Layer 21: Entropy=3.7373, Top-4 Coverage=0.2074, Self-Transition=0.3283
Layer 22: Entropy=3.8948, Top-4 Coverage=0.1838, Self-Transition=0.2905
Layer 23: Entropy=4.0001, Top-4 Coverage=0.1828, Self-Transition=0.2929
Layer 24: Entropy=3.9441, Top-4 Coverage=0.1901, Self-Transition=0.2900
Layer 25: Entropy=3.9055, Top-4 Coverage=0.2052, Self-Transition=0.3105
Layer 26: Entropy=3.8855, Top-4 Coverage=0.1850, Self-Transition=0.2862
Layer 27: Entropy=3.9260, Top-4 Coverage=0.1947, Self-Transition=0.2939
Layer 28: Entropy=3.8903, Top-4 Coverage=0.1952, Self-Transition=0.2992
Layer 29: Entropy=3.8202, Top-4 Coverage=0.1991, Self-Transition=0.3153
Layer 30: Entropy=3.7185, Top-4 Coverage=0.2075, Self-Transition=0.2947
Layer 31: Entropy=3.8805, Top-4 Coverage=0.1894, Self-Transition=0.2638
Layer 32: Entropy=3.8347, Top-4 Coverage=0.1858, Self-Transition=0.2805
Layer 33: Entropy=3.9351, Top-4 Coverage=0.1627, Self-Transition=0.2510
Layer 34: Entropy=3.9888, Top-4 Coverage=0.1707, Self-Transition=0.2680
Layer 35: Entropy=3.9948, Top-4 Coverage=0.1789, Self-Transition=0.2597
Layer 36: Entropy=4.0695, Top-4 Coverage=0.1617, Self-Transition=0.2534
